name,full_name,html_url,description,stars,forks,language,created_at,updated_at,open_issues
tailwindcss,tailwindlabs/tailwindcss,,A utility-first CSS framework for rapid UI development.,83581,4229,TypeScript,2017-10-06T14:59:14Z,2024-12-02T06:01:24Z,120
kong,Kong/kong,,🦍 The Cloud-Native API Gateway and AI Gateway.,39395,4831,Lua,2014-11-17T23:56:08Z,2024-12-02T06:02:26Z,133
ruff,astral-sh/ruff,,"An extremely fast Python linter and code formatter, written in Rust.",33303,1111,Rust,2022-08-09T17:17:44Z,2024-12-02T06:03:00Z,1252
Paddle,PaddlePaddle/Paddle,,PArallel Distributed Deep LEarning: Machine Learning Framework from Industrial Practice （『飞桨』核心框架，深度学习&机器学习高性能单机、分布式训练和跨平台部署）,22300,5623,C++,2016-08-15T06:59:08Z,2024-12-02T06:00:54Z,1831
chromium,chromium/chromium,,The official GitHub mirror of the Chromium source,19340,7114,C++,2018-02-05T20:55:32Z,2024-12-02T06:02:30Z,102
dataease,dataease/dataease,,🔥 人人可用的开源 BI 工具，Tableau、帆软的开源替代。,18402,3301,Java,2021-02-02T04:10:21Z,2024-12-02T06:04:10Z,379
homebrew-core,Homebrew/homebrew-core,,🍻 Default formulae for the missing package manager for macOS (or Linux),13808,12479,Ruby,2016-03-01T06:58:36Z,2024-12-02T06:04:24Z,87
MaxKB,1Panel-dev/MaxKB,,🚀 MaxKB 是一款基于大语言模型和 RAG 的开源知识库问答系统，广泛应用于智能客服、企业内部知识库、学术研究与教育等场景。,11741,1538,Python,2023-09-14T02:05:12Z,2024-12-02T06:02:06Z,95
seatunnel,apache/seatunnel,,"SeaTunnel is a next-generation super high-performance, distributed, massive data integration tool.",8080,1830,Java,2017-08-05T09:14:47Z,2024-12-02T06:03:48Z,652
NotionNext,tangly1024/NotionNext,,"使用 NextJS + Notion API 实现的，支持多种部署方案的静态博客，无需服务器、零门槛搭建网站，为Notion和所有创作者设计。 (A static blog built with NextJS and Notion API, supporting multiple deployment options. No server required, zero threshold to set up a website. Designed for Notion and all creators.)",8004,10992,JavaScript,2021-09-26T07:23:22Z,2024-12-02T06:02:03Z,262
Sylius,Sylius/Sylius,,Open Source eCommerce Framework on Symfony,7954,2096,PHP,2011-11-05T22:05:52Z,2024-12-02T06:03:01Z,243
sea-orm,SeaQL/sea-orm,,🐚 An async & dynamic ORM for Rust,7440,522,Rust,2021-02-09T07:16:15Z,2024-12-02T06:01:28Z,174
V2ray-Configs,barry-far/V2ray-Configs,,"🛰️✨ Free V2ray Configs , Updating Every 10 minutes.",4882,926,Python,2023-09-17T09:39:01Z,2024-12-02T06:02:36Z,1
